id,YEAR,MONTH,TEMP,PRCP
108,1968,5,56.64,25.0
108,1968,6,66.19,24.16
108,1968,7,76.57,6.45
108,1968,8,67.37,33.06
108,1968,9,61.13,16.66
108,1968,10,50.07,20.16
108,1968,11,39.2,46.66
108,1968,12,31.43,54.83
108,1969,1,30.26,66.93
108,1969,2,33.1,45.53
108,1969,3,38.71,20.16
108,1969,4,50.13,25.83
108,1969,5,62.06,16.13
108,1969,6,66.36,35.0
108,1969,7,74.44,4.84
108,1969,8,74.07,3.23
108,1969,9,64.96,15.0
108,1969,10,46.1,29.84
108,1969,11,38.54,13.33
108,1969,12,33.23,50.0
108,1970,1,33.9,62.09
108,1970,2,39.25,18.75
108,1970,3,40.27,40.32
108,1970,4,43.73,34.16
108,1970,5,57.42,24.19
108,1970,6,68.02,27.5
108,1970,7,75.06,22.58
108,1970,8,75.46,8.87
108,1970,9,57.12,20.83
108,1970,10,46.71,27.42
108,1970,11,40.78,50.83
108,1970,12,31.29,56.45
108,1971,1,32.2,58.53
108,1971,2,35.36,36.79
108,1971,3,37.92,45.52
108,1971,4,47.27,29.66
108,1971,5,58.46,29.03
108,1971,6,63.43,31.93
108,1971,7,74.28,9.84
108,1971,8,77.37,12.9
108,1971,9,57.68,19.16
108,1971,10,46.97,28.22
108,1971,11,37.73,49.16
108,1971,12,29.19,56.45
108,1972,1,29.16,48.78
108,1972,2,34.04,50.86
108,1972,3,43.99,34.14
108,1972,4,46.33,30.51
108,1972,5,59.32,19.51
108,1972,6,66.8,26.0
108,1972,7,73.34,8.87
108,1972,8,74.04,11.83
108,1972,9,58.86,20.83
108,1972,10,50.16,27.42
108,1972,11,39.28,39.16
108,1972,12,24.15,56.45
108,1973,1,24.9,14.07
108,1973,2,31.26,14.44
108,1973,3,38.2,10.47
108,1973,4,46.38,6.91
108,1973,5,59.47,8.7
108,1973,6,66.85,5.22
108,1973,7,74.24,5.45
108,1973,8,73.16,6.8
108,1973,9,60.66,6.45
108,1973,10,50.65,7.98
108,1973,11,37.58,13.83
108,1973,12,33.09,12.03
108,1974,1,24.24,15.73
108,1974,2,32.05,8.13
108,1974,3,40.17,16.43
108,1974,4,47.5,8.87
108,1974,5,55.71,9.71
108,1974,6,71.38,5.49
108,1974,7,74.29,5.22
108,1974,8,70.56,5.58
108,1974,9,63.59,1.37
108,1974,10,50.02,8.54
108,1974,11,38.88,9.79
108,1974,12,29.14,18.58
108,1975,1,25.0,11.13
108,1975,2,29.87,17.72
108,1975,3,36.54,13.09
108,1975,4,40.8,18.27
108,1975,5,52.94,11.56
108,1975,6,63.06,12.21
108,1975,7,76.53,3.35
108,1975,8,68.37,5.21
108,1975,9,62.38,1.61
108,1975,10,48.61,7.54
108,1975,11,34.99,9.29
108,1975,12,31.38,12.48
108,1976,1,27.37,8.09
108,1976,2,29.48,8.36
108,1976,3,32.88,6.31
108,1976,4,45.46,6.75
108,1976,5,58.44,5.94
108,1976,6,62.18,4.04
108,1976,7,73.46,3.67
108,1976,8,66.12,5.6
108,1976,9,62.29,3.6
108,1976,10,48.33,2.17
108,1976,11,38.22,2.06
108,1976,12,28.65,3.5
108,1977,1,21.19,7.62
108,1977,2,32.38,5.08
108,1977,3,36.84,9.91
108,1977,4,52.65,3.11
108,1977,5,52.04,8.12
108,1977,6,69.83,4.33
108,1977,7,71.55,4.4
108,1977,8,71.87,3.38
108,1977,9,60.88,3.29
108,1977,10,50.4,1.62
108,1977,11,37.08,5.81
108,1977,12,32.93,8.99
108,1978,1,31.64,8.04
108,1978,2,33.85,8.38
108,1978,3,43.85,5.17
108,1978,4,46.94,7.49
108,1978,5,52.71,7.29
108,1978,6,64.56,4.5
108,1978,7,72.07,5.16
108,1978,8,69.17,3.07
108,1978,9,58.84,5.39
108,1978,10,51.14,1.11
108,1978,11,32.97,15.85
108,1978,12,22.82,18.26
108,1979,1,14.53,19.76
108,1979,2,30.34,11.94
108,1979,3,39.22,3.31
108,1979,4,46.53,4.26
108,1979,5,57.29,1.62
108,1979,6,66.56,2.03
108,1979,7,74.39,0.86
108,1979,8,70.97,1.42
108,1979,9,66.26,0.29
108,1979,10,52.35,1.49
108,1979,11,31.72,1.55
108,1979,12,32.11,0.56
108,1980,1,25.82,1.7
108,1980,2,35.16,2.21
108,1980,3,38.44,2.54
108,1980,4,51.18,1.19
108,1980,5,54.83,3.52
108,1980,6,61.85,2.6
108,1980,7,72.06,1.17
108,1980,8,67.83,0.61
108,1980,9,60.86,1.49
108,1980,10,49.24,0.58
108,1980,11,37.62,0.6
108,1980,12,32.03,1.15
108,1981,1,31.19,1.98
108,1981,2,33.24,1.0
108,1981,3,41.54,1.67
108,1981,4,48.96,0.31
108,1981,5,53.46,2.81
108,1981,6,63.3,0.68
108,1981,7,71.85,0.01
108,1981,8,74.81,0.0
108,1981,9,63.35,0.01
108,1981,10,46.52,2.24
108,1981,11,40.44,1.4
108,1981,12,32.67,1.71
108,1982,1,24.16,2.0
108,1982,2,25.81,0.78
108,1982,3,38.98,1.85
108,1982,4,43.77,1.44
108,1982,5,54.15,1.05
108,1982,6,64.38,0.05
108,1982,7,69.56,0.4
108,1982,8,72.05,0.73
108,1982,9,58.9,0.41
108,1982,10,46.77,1.07
108,1982,11,33.6,1.73
108,1982,12,27.71,1.35
108,1983,1,31.86,1.92
108,1983,2,34.64,0.39
108,1983,3,40.89,2.03
108,1983,4,43.35,0.69
108,1983,5,53.93,0.05
108,1983,6,61.76,0.74
108,1983,7,67.76,0.68
108,1983,8,72.18,0.36
108,1983,9,59.27,0.04
108,1983,10,48.63,0.77
108,1983,11,37.07,1.37
108,1983,12,19.95,2.75
108,1984,1,21.35,1.25
108,1984,2,25.74,3.13
108,1984,3,36.81,0.65
108,1984,4,43.31,0.47
108,1984,5,52.95,0.68
108,1984,6,59.4,1.62
108,1984,7,71.07,0.68
108,1984,8,70.43,0.23
108,1984,9,56.66,0.01
108,1984,10,43.81,0.47
108,1984,11,35.75,1.88
108,1984,12,21.35,2.91
108,1985,1,18.43,0.68
108,1985,2,22.09,1.93
108,1985,3,32.07,0.84
108,1985,4,49.62,0.67
108,1985,5,56.69,0.45
108,1985,6,65.06,1.1
108,1985,7,74.92,0.44
108,1985,8,67.02,0.68
108,1985,9,53.42,0.88
108,1985,10,45.52,1.3
108,1985,11,27.26,1.53
108,1985,12,16.02,1.26
108,1986,1,27.59,1.04
108,1986,2,35.03,2.79
108,1986,3,44.52,1.06
108,1986,4,46.42,0.88
108,1986,5,55.85,0.64
108,1986,6,68.73,1.31
108,1986,7,67.29,1.28
108,1986,8,72.93,0.44
108,1986,9,54.83,2.9
108,1986,10,48.26,0.5
108,1986,11,36.69,1.77
108,1986,12,26.17,1.69
108,1987,1,23.67,4.36
108,1987,2,32.85,3.81
108,1987,3,39.93,1.58
108,1987,4,52.88,1.62
108,1987,5,58.4,1.37
108,1987,6,65.88,1.42
108,1987,7,67.98,0.89
108,1987,8,67.71,0.87
108,1987,9,62.2,0.0
108,1987,10,50.25,0.22
108,1987,11,37.12,2.24
108,1987,12,28.01,1.67
108,1988,1,23.93,1.47
108,1988,2,32.89,0.45
108,1988,3,38.39,1.47
108,1988,4,49.33,1.9
108,1988,5,55.34,2.27
108,1988,6,67.46,0.85
108,1988,7,73.24,0.41
108,1988,8,69.79,0.42
108,1988,9,58.64,0.43
108,1988,10,54.88,0.0
108,1988,11,35.99,4.55
108,1988,12,23.85,3.67
108,1989,1,23.28,1.83
108,1989,2,21.24,4.08
108,1989,3,38.26,3.5
108,1989,4,49.87,1.86
108,1989,5,54.19,1.79
108,1989,6,64.29,7.15
108,1989,7,73.3,5.2
108,1989,8,66.38,6.99
108,1989,9,60.22,3.97
108,1989,10,47.55,8.63
108,1989,11,37.78,6.61
108,1989,12,28.52,4.03
108,1990,1,31.14,15.65
108,1990,2,29.82,9.22
108,1990,3,40.73,7.61
108,1990,4,51.14,11.35
108,1990,5,52.78,9.64
108,1990,6,63.23,5.81
108,1990,7,72.13,4.53
108,1990,8,69.59,6.5
108,1990,9,65.38,3.17
108,1990,10,47.43,5.47
108,1990,11,38.01,8.88
108,1990,12,17.73,10.36
108,1991,1,22.44,6.65
108,1991,2,36.53,4.29
108,1991,3,38.36,12.3
108,1991,4,44.76,11.04
108,1991,5,51.48,12.33
108,1991,6,60.44,7.6
108,1991,7,71.93,3.44
108,1991,8,72.2,3.83
108,1991,9,60.88,4.91
108,1991,10,47.82,5.48
108,1991,11,33.85,15.53
108,1991,12,27.51,6.63
108,1992,1,27.65,6.66
108,1992,2,36.47,9.19
108,1992,3,44.34,5.27
108,1992,4,51.05,5.77
108,1992,5,60.88,3.26
108,1992,6,65.87,8.34
108,1992,7,67.8,4.1
108,1992,8,69.95,1.95
108,1992,9,58.93,5.12
108,1992,10,50.16,5.47
108,1992,11,31.53,14.41
108,1992,12,23.77,15.46
108,1993,1,20.53,15.43
108,1993,2,23.46,14.1
108,1993,3,37.96,11.42
108,1993,4,44.73,12.42
108,1993,5,59.5,5.52
108,1993,6,59.56,9.11
108,1993,7,62.49,5.42
108,1993,8,65.28,3.56
