YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2018,7,PA,Total Electric Power Industry,Petroleum (Barrels),68270
2018,7,RI,Total Electric Power Industry,Coal (Short Tons),0
2018,7,RI,Total Electric Power Industry,Natural Gas (Mcf),6989494
2018,7,RI,Total Electric Power Industry,Petroleum (Barrels),2
2018,7,SC,Total Electric Power Industry,Coal (Short Tons),810958
2018,7,SC,Total Electric Power Industry,Natural Gas (Mcf),19582064
2018,7,SC,Total Electric Power Industry,Petroleum (Barrels),14223
2018,7,SD,Total Electric Power Industry,Coal (Short Tons),156597
2018,7,SD,Total Electric Power Industry,Natural Gas (Mcf),1406671
2018,7,SD,Total Electric Power Industry,Petroleum (Barrels),823
2018,7,TN,Total Electric Power Industry,Coal (Short Tons),1206457
2018,7,TN,Total Electric Power Industry,Natural Gas (Mcf),11998254
2018,7,TN,Total Electric Power Industry,Petroleum (Barrels),20685
2018,7,TX,Total Electric Power Industry,Coal (Short Tons),7560935
2018,7,TX,Total Electric Power Industry,Natural Gas (Mcf),216729141
2018,7,TX,Total Electric Power Industry,Petroleum (Barrels),24911
2018,7,UT,Total Electric Power Industry,Coal (Short Tons),1256471
2018,7,UT,Total Electric Power Industry,Natural Gas (Mcf),8687525
2018,7,UT,Total Electric Power Industry,Petroleum (Barrels),2490
2018,7,VA,Total Electric Power Industry,Coal (Short Tons),494171
2018,7,VA,Total Electric Power Industry,Natural Gas (Mcf),36993411
2018,7,VA,Total Electric Power Industry,Petroleum (Barrels),52653
2018,7,VT,Total Electric Power Industry,Natural Gas (Mcf),2545
2018,7,VT,Total Electric Power Industry,Petroleum (Barrels),651
2018,7,WA,Total Electric Power Industry,Coal (Short Tons),458404
2018,7,WA,Total Electric Power Industry,Natural Gas (Mcf),12203393
2018,7,WA,Total Electric Power Industry,Petroleum (Barrels),7494
2018,7,WI,Total Electric Power Industry,Coal (Short Tons),1849425
2018,7,WI,Total Electric Power Industry,Natural Gas (Mcf),14969968
2018,7,WI,Total Electric Power Industry,Petroleum (Barrels),31585
2018,7,WV,Total Electric Power Industry,Coal (Short Tons),2766424
2018,7,WV,Total Electric Power Industry,Natural Gas (Mcf),1517706
2018,7,WV,Total Electric Power Industry,Petroleum (Barrels),14529
2018,7,WY,Total Electric Power Industry,Coal (Short Tons),2348619
2018,7,WY,Total Electric Power Industry,Natural Gas (Mcf),577271
2018,7,WY,Total Electric Power Industry,Petroleum (Barrels),4692
2018,8,AK,Total Electric Power Industry,Coal (Short Tons),46346
2018,8,AK,Total Electric Power Industry,Natural Gas (Mcf),2105377
2018,8,AK,Total Electric Power Industry,Petroleum (Barrels),123202
2018,8,AL,Total Electric Power Industry,Coal (Short Tons),1694468
2018,8,AL,Total Electric Power Industry,Natural Gas (Mcf),41568892
2018,8,AL,Total Electric Power Industry,Petroleum (Barrels),5226
2018,8,AR,Total Electric Power Industry,Coal (Short Tons),1830904
2018,8,AR,Total Electric Power Industry,Natural Gas (Mcf),15431629
2018,8,AR,Total Electric Power Industry,Petroleum (Barrels),4522
2018,8,AZ,Total Electric Power Industry,Coal (Short Tons),1692831
2018,8,AZ,Total Electric Power Industry,Natural Gas (Mcf),38252114
2018,8,AZ,Total Electric Power Industry,Petroleum (Barrels),8646
2018,8,CA,Total Electric Power Industry,Coal (Short Tons),5137
2018,8,CA,Total Electric Power Industry,Natural Gas (Mcf),76940920
2018,8,CA,Total Electric Power Industry,Petroleum (Barrels),7513
2018,8,CO,Total Electric Power Industry,Coal (Short Tons),1515932
2018,8,CO,Total Electric Power Industry,Natural Gas (Mcf),12005471
2018,8,CO,Total Electric Power Industry,Petroleum (Barrels),1712
2018,8,CT,Total Electric Power Industry,Coal (Short Tons),3862
2018,8,CT,Total Electric Power Industry,Natural Gas (Mcf),15583008
2018,8,CT,Total Electric Power Industry,Petroleum (Barrels),18809
2018,8,DC,Total Electric Power Industry,Natural Gas (Mcf),60000
2018,8,DC,Total Electric Power Industry,Petroleum (Barrels),0
2018,8,DE,Total Electric Power Industry,Coal (Short Tons),29015
2018,8,DE,Total Electric Power Industry,Natural Gas (Mcf),5706703
2018,8,DE,Total Electric Power Industry,Petroleum (Barrels),4168
2018,8,FL,Total Electric Power Industry,Coal (Short Tons),1422098
2018,8,FL,Total Electric Power Industry,Natural Gas (Mcf),129668970
2018,8,FL,Total Electric Power Industry,Petroleum (Barrels),451012
2018,8,GA,Total Electric Power Industry,Coal (Short Tons),1732285
2018,8,GA,Total Electric Power Industry,Natural Gas (Mcf),36992025
2018,8,GA,Total Electric Power Industry,Petroleum (Barrels),46561
2018,8,HI,Total Electric Power Industry,Coal (Short Tons),69007
2018,8,HI,Total Electric Power Industry,Petroleum (Barrels),993886
2018,8,IA,Total Electric Power Industry,Coal (Short Tons),1613531
2018,8,IA,Total Electric Power Industry,Natural Gas (Mcf),4939259
2018,8,IA,Total Electric Power Industry,Petroleum (Barrels),6425
2018,8,ID,Total Electric Power Industry,Coal (Short Tons),463
2018,8,ID,Total Electric Power Industry,Natural Gas (Mcf),2834615
2018,8,ID,Total Electric Power Industry,Petroleum (Barrels),0
2018,8,IL,Total Electric Power Industry,Coal (Short Tons),3668396
2018,8,IL,Total Electric Power Industry,Natural Gas (Mcf),17982565
2018,8,IL,Total Electric Power Industry,Petroleum (Barrels),10930
2018,8,IN,Total Electric Power Industry,Coal (Short Tons),3599357
2018,8,IN,Total Electric Power Industry,Natural Gas (Mcf),19461098
2018,8,IN,Total Electric Power Industry,Petroleum (Barrels),25074
2018,8,KS,Total Electric Power Industry,Coal (Short Tons),1319124
2018,8,KS,Total Electric Power Industry,Natural Gas (Mcf),2396528
2018,8,KS,Total Electric Power Industry,Petroleum (Barrels),11608
2018,8,KY,Total Electric Power Industry,Coal (Short Tons),2881565
2018,8,KY,Total Electric Power Industry,Natural Gas (Mcf),10923327
2018,8,KY,Total Electric Power Industry,Petroleum (Barrels),9404
2018,8,LA,Total Electric Power Industry,Coal (Short Tons),951621
2018,8,LA,Total Electric Power Industry,Natural Gas (Mcf),43534928
2018,8,LA,Total Electric Power Industry,Petroleum (Barrels),789169
2018,8,MA,Total Electric Power Industry,Coal (Short Tons),0
2018,8,MA,Total Electric Power Industry,Natural Gas (Mcf),19824969
2018,8,MA,Total Electric Power Industry,Petroleum (Barrels),22593
2018,8,MD,Total Electric Power Industry,Coal (Short Tons),335013
2018,8,MD,Total Electric Power Industry,Natural Gas (Mcf),12458726
2018,8,MD,Total Electric Power Industry,Petroleum (Barrels),21143
2018,8,ME,Total Electric Power Industry,Coal (Short Tons),1351
2018,8,ME,Total Electric Power Industry,Natural Gas (Mcf),2745846
2018,8,ME,Total Electric Power Industry,Petroleum (Barrels),16678
2018,8,MI,Total Electric Power Industry,Coal (Short Tons),2472726
2018,8,MI,Total Electric Power Industry,Natural Gas (Mcf),22257243
2018,8,MI,Total Electric Power Industry,Petroleum (Barrels),236233
2018,8,MN,Total Electric Power Industry,Coal (Short Tons),1209491
2018,8,MN,Total Electric Power Industry,Natural Gas (Mcf),8168376
2018,8,MN,Total Electric Power Industry,Petroleum (Barrels),6895
2018,8,MO,Total Electric Power Industry,Coal (Short Tons),3741897
2018,8,MO,Total Electric Power Industry,Natural Gas (Mcf),5940049
2018,8,MO,Total Electric Power Industry,Petroleum (Barrels),13415
2018,8,MS,Total Electric Power Industry,Coal (Short Tons),431033
2018,8,MS,Total Electric Power Industry,Natural Gas (Mcf),38555969
2018,8,MS,Total Electric Power Industry,Petroleum (Barrels),7192
2018,8,MT,Total Electric Power Industry,Coal (Short Tons),652845
2018,8,MT,Total Electric Power Industry,Natural Gas (Mcf),628407
2018,8,MT,Total Electric Power Industry,Petroleum (Barrels),75877
2018,8,NC,Total Electric Power Industry,Coal (Short Tons),1285483
2018,8,NC,Total Electric Power Industry,Natural Gas (Mcf),33646941
2018,8,NC,Total Electric Power Industry,Petroleum (Barrels),44982
2018,8,ND,Total Electric Power Industry,Coal (Short Tons),2134043
2018,8,ND,Total Electric Power Industry,Natural Gas (Mcf),942543
2018,8,ND,Total Electric Power Industry,Petroleum (Barrels),5613
2018,8,NE,Total Electric Power Industry,Coal (Short Tons),1356639
2018,8,NE,Total Electric Power Industry,Natural Gas (Mcf),1082574
2018,8,NE,Total Electric Power Industry,Petroleum (Barrels),2434
2018,8,NH,Total Electric Power Industry,Coal (Short Tons),15262
2018,8,NH,Total Electric Power Industry,Natural Gas (Mcf),4174232
2018,8,NH,Total Electric Power Industry,Petroleum (Barrels),9187
2018,8,NJ,Total Electric Power Industry,Coal (Short Tons),49881
2018,8,NJ,Total Electric Power Industry,Natural Gas (Mcf),33017362
2018,8,NJ,Total Electric Power Industry,Petroleum (Barrels),6571
2018,8,NM,Total Electric Power Industry,Coal (Short Tons),730041
2018,8,NM,Total Electric Power Industry,Natural Gas (Mcf),10546782
2018,8,NM,Total Electric Power Industry,Petroleum (Barrels),3563
2018,8,NV,Total Electric Power Industry,Coal (Short Tons),216975
2018,8,NV,Total Electric Power Industry,Natural Gas (Mcf),23859015
2018,8,NV,Total Electric Power Industry,Petroleum (Barrels),3938
2018,8,NY,Total Electric Power Industry,Coal (Short Tons),16441
2018,8,NY,Total Electric Power Industry,Natural Gas (Mcf),55346445
2018,8,NY,Total Electric Power Industry,Petroleum (Barrels),90710
2018,8,OH,Total Electric Power Industry,Coal (Short Tons),2354465
2018,8,OH,Total Electric Power Industry,Natural Gas (Mcf),31530250
2018,8,OH,Total Electric Power Industry,Petroleum (Barrels),288208
2018,8,OK,Total Electric Power Industry,Coal (Short Tons),1088008
2018,8,OK,Total Electric Power Industry,Natural Gas (Mcf),37140833
2018,8,OK,Total Electric Power Industry,Petroleum (Barrels),3011
2018,8,OR,Total Electric Power Industry,Coal (Short Tons),120313
2018,8,OR,Total Electric Power Industry,Natural Gas (Mcf),15407013
2018,8,OR,Total Electric Power Industry,Petroleum (Barrels),1540
2018,8,PA,Total Electric Power Industry,Coal (Short Tons),2257446
2018,8,PA,Total Electric Power Industry,Natural Gas (Mcf),60482376
2018,8,PA,Total Electric Power Industry,Petroleum (Barrels),69353
2018,8,RI,Total Electric Power Industry,Coal (Short Tons),0
2018,8,RI,Total Electric Power Industry,Natural Gas (Mcf),7975366
2018,8,RI,Total Electric Power Industry,Petroleum (Barrels),33
2018,8,SC,Total Electric Power Industry,Coal (Short Tons),818738
2018,8,SC,Total Electric Power Industry,Natural Gas (Mcf),19531211
2018,8,SC,Total Electric Power Industry,Petroleum (Barrels),20726
2018,8,SD,Total Electric Power Industry,Coal (Short Tons),159930
2018,8,SD,Total Electric Power Industry,Natural Gas (Mcf),988809
2018,8,SD,Total Electric Power Industry,Petroleum (Barrels),540
2018,8,TN,Total Electric Power Industry,Coal (Short Tons),1031785
2018,8,TN,Total Electric Power Industry,Natural Gas (Mcf),12006430
2018,8,TN,Total Electric Power Industry,Petroleum (Barrels),21843
2018,8,TX,Total Electric Power Industry,Coal (Short Tons),7655999
2018,8,TX,Total Electric Power Industry,Natural Gas (Mcf),197208668
2018,8,TX,Total Electric Power Industry,Petroleum (Barrels),24993
2018,8,UT,Total Electric Power Industry,Coal (Short Tons),1286225
2018,8,UT,Total Electric Power Industry,Natural Gas (Mcf),8518725
2018,8,UT,Total Electric Power Industry,Petroleum (Barrels),3774
2018,8,VA,Total Electric Power Industry,Coal (Short Tons),536845
2018,8,VA,Total Electric Power Industry,Natural Gas (Mcf),38051913
2018,8,VA,Total Electric Power Industry,Petroleum (Barrels),56022
2018,8,VT,Total Electric Power Industry,Natural Gas (Mcf),454
2018,8,VT,Total Electric Power Industry,Petroleum (Barrels),873
2018,8,WA,Total Electric Power Industry,Coal (Short Tons),548928
2018,8,WA,Total Electric Power Industry,Natural Gas (Mcf),13114670
2018,8,WA,Total Electric Power Industry,Petroleum (Barrels),3001
2018,8,WI,Total Electric Power Industry,Coal (Short Tons),1919038
2018,8,WI,Total Electric Power Industry,Natural Gas (Mcf),15200961
2018,8,WI,Total Electric Power Industry,Petroleum (Barrels),30955
2018,8,WV,Total Electric Power Industry,Coal (Short Tons),2819192
2018,8,WV,Total Electric Power Industry,Natural Gas (Mcf),1575709
2018,8,WV,Total Electric Power Industry,Petroleum (Barrels),18454
2018,8,WY,Total Electric Power Industry,Coal (Short Tons),2414864
2018,8,WY,Total Electric Power Industry,Natural Gas (Mcf),583735
2018,8,WY,Total Electric Power Industry,Petroleum (Barrels),3239
2018,9,AK,Total Electric Power Industry,Coal (Short Tons),62376
2018,9,AK,Total Electric Power Industry,Natural Gas (Mcf),2014659
2018,9,AK,Total Electric Power Industry,Petroleum (Barrels),115859
2018,9,AL,Total Electric Power Industry,Coal (Short Tons),1360484
2018,9,AL,Total Electric Power Industry,Natural Gas (Mcf),41928694
2018,9,AL,Total Electric Power Industry,Petroleum (Barrels),3587
2018,9,AR,Total Electric Power Industry,Coal (Short Tons),1568642
2018,9,AR,Total Electric Power Industry,Natural Gas (Mcf),10951864
2018,9,AR,Total Electric Power Industry,Petroleum (Barrels),3837
2018,9,AZ,Total Electric Power Industry,Coal (Short Tons),1512219
2018,9,AZ,Total Electric Power Industry,Natural Gas (Mcf),35593725
2018,9,AZ,Total Electric Power Industry,Petroleum (Barrels),3706
2018,9,CA,Total Electric Power Industry,Coal (Short Tons),4966
2018,9,CA,Total Electric Power Industry,Natural Gas (Mcf),57393230
2018,9,CA,Total Electric Power Industry,Petroleum (Barrels),5583
2018,9,CO,Total Electric Power Industry,Coal (Short Tons),1277977
2018,9,CO,Total Electric Power Industry,Natural Gas (Mcf),10874704
2018,9,CO,Total Electric Power Industry,Petroleum (Barrels),1424
2018,9,CT,Total Electric Power Industry,Coal (Short Tons),5599
2018,9,CT,Total Electric Power Industry,Natural Gas (Mcf),12949320
2018,9,CT,Total Electric Power Industry,Petroleum (Barrels),6382
2018,9,DC,Total Electric Power Industry,Natural Gas (Mcf),68675
2018,9,DC,Total Electric Power Industry,Petroleum (Barrels),0
2018,9,DE,Total Electric Power Industry,Coal (Short Tons),16988
2018,9,DE,Total Electric Power Industry,Natural Gas (Mcf),4269897
2018,9,DE,Total Electric Power Industry,Petroleum (Barrels),4522
2018,9,FL,Total Electric Power Industry,Coal (Short Tons),1270612
2018,9,FL,Total Electric Power Industry,Natural Gas (Mcf),129841232
2018,9,FL,Total Electric Power Industry,Petroleum (Barrels),549392
2018,9,GA,Total Electric Power Industry,Coal (Short Tons),1732531
2018,9,GA,Total Electric Power Industry,Natural Gas (Mcf),36503326
2018,9,GA,Total Electric Power Industry,Petroleum (Barrels),34821
2018,9,HI,Total Electric Power Industry,Coal (Short Tons),64279
2018,9,HI,Total Electric Power Industry,Petroleum (Barrels),1018169
2018,9,IA,Total Electric Power Industry,Coal (Short Tons),1460339
2018,9,IA,Total Electric Power Industry,Natural Gas (Mcf),5023946
2018,9,IA,Total Electric Power Industry,Petroleum (Barrels),14280
2018,9,ID,Total Electric Power Industry,Coal (Short Tons),343
2018,9,ID,Total Electric Power Industry,Natural Gas (Mcf),3111484
2018,9,ID,Total Electric Power Industry,Petroleum (Barrels),0
2018,9,IL,Total Electric Power Industry,Coal (Short Tons),3204165
2018,9,IL,Total Electric Power Industry,Natural Gas (Mcf),15289416
2018,9,IL,Total Electric Power Industry,Petroleum (Barrels),7495
2018,9,IN,Total Electric Power Industry,Coal (Short Tons),3167622
2018,9,IN,Total Electric Power Industry,Natural Gas (Mcf),15859248
2018,9,IN,Total Electric Power Industry,Petroleum (Barrels),17601
2018,9,KS,Total Electric Power Industry,Coal (Short Tons),1043888
2018,9,KS,Total Electric Power Industry,Natural Gas (Mcf),1935350
2018,9,KS,Total Electric Power Industry,Petroleum (Barrels),5017
2018,9,KY,Total Electric Power Industry,Coal (Short Tons),2474315
2018,9,KY,Total Electric Power Industry,Natural Gas (Mcf),11402638
2018,9,KY,Total Electric Power Industry,Petroleum (Barrels),18509
2018,9,LA,Total Electric Power Industry,Coal (Short Tons),793963
2018,9,LA,Total Electric Power Industry,Natural Gas (Mcf),41770389
2018,9,LA,Total Electric Power Industry,Petroleum (Barrels),729566
2018,9,MA,Total Electric Power Industry,Coal (Short Tons),0
2018,9,MA,Total Electric Power Industry,Natural Gas (Mcf),12687913
2018,9,MA,Total Electric Power Industry,Petroleum (Barrels),7223
2018,9,MD,Total Electric Power Industry,Coal (Short Tons),284013
2018,9,MD,Total Electric Power Industry,Natural Gas (Mcf),11885827
2018,9,MD,Total Electric Power Industry,Petroleum (Barrels),17505
2018,9,ME,Total Electric Power Industry,Coal (Short Tons),1093
2018,9,ME,Total Electric Power Industry,Natural Gas (Mcf),1368390
2018,9,ME,Total Electric Power Industry,Petroleum (Barrels),1114
2018,9,MI,Total Electric Power Industry,Coal (Short Tons),2088097
2018,9,MI,Total Electric Power Industry,Natural Gas (Mcf),19127253
2018,9,MI,Total Electric Power Industry,Petroleum (Barrels),259274
2018,9,MN,Total Electric Power Industry,Coal (Short Tons),1067127
2018,9,MN,Total Electric Power Industry,Natural Gas (Mcf),5899199
2018,9,MN,Total Electric Power Industry,Petroleum (Barrels),6409
2018,9,MO,Total Electric Power Industry,Coal (Short Tons),2789930
2018,9,MO,Total Electric Power Industry,Natural Gas (Mcf),4695212
2018,9,MO,Total Electric Power Industry,Petroleum (Barrels),13520
2018,9,MS,Total Electric Power Industry,Coal (Short Tons),250917
2018,9,MS,Total Electric Power Industry,Natural Gas (Mcf),33687260
2018,9,MS,Total Electric Power Industry,Petroleum (Barrels),11745
2018,9,MT,Total Electric Power Industry,Coal (Short Tons),832714
2018,9,MT,Total Electric Power Industry,Natural Gas (Mcf),403471
2018,9,MT,Total Electric Power Industry,Petroleum (Barrels),69988
2018,9,NC,Total Electric Power Industry,Coal (Short Tons),1145607
2018,9,NC,Total Electric Power Industry,Natural Gas (Mcf),30314105
2018,9,NC,Total Electric Power Industry,Petroleum (Barrels),25147
2018,9,ND,Total Electric Power Industry,Coal (Short Tons),1846228
2018,9,ND,Total Electric Power Industry,Natural Gas (Mcf),871484
2018,9,ND,Total Electric Power Industry,Petroleum (Barrels),8248
2018,9,NE,Total Electric Power Industry,Coal (Short Tons),1224317
2018,9,NE,Total Electric Power Industry,Natural Gas (Mcf),438478
2018,9,NE,Total Electric Power Industry,Petroleum (Barrels),2439
2018,9,NH,Total Electric Power Industry,Coal (Short Tons),7298
2018,9,NH,Total Electric Power Industry,Natural Gas (Mcf),2268591
2018,9,NH,Total Electric Power Industry,Petroleum (Barrels),2454
2018,9,NJ,Total Electric Power Industry,Coal (Short Tons),39637
2018,9,NJ,Total Electric Power Industry,Natural Gas (Mcf),27839969
2018,9,NJ,Total Electric Power Industry,Petroleum (Barrels),5473
2018,9,NM,Total Electric Power Industry,Coal (Short Tons),659103
2018,9,NM,Total Electric Power Industry,Natural Gas (Mcf),9130978
2018,9,NM,Total Electric Power Industry,Petroleum (Barrels),4661
2018,9,NV,Total Electric Power Industry,Coal (Short Tons),144270
2018,9,NV,Total Electric Power Industry,Natural Gas (Mcf),20223971
2018,9,NV,Total Electric Power Industry,Petroleum (Barrels),1898
2018,9,NY,Total Electric Power Industry,Coal (Short Tons),21333
2018,9,NY,Total Electric Power Industry,Natural Gas (Mcf),40670197
2018,9,NY,Total Electric Power Industry,Petroleum (Barrels),36688
2018,9,OH,Total Electric Power Industry,Coal (Short Tons),2002427
2018,9,OH,Total Electric Power Industry,Natural Gas (Mcf),27128054
2018,9,OH,Total Electric Power Industry,Petroleum (Barrels),220317
2018,9,OK,Total Electric Power Industry,Coal (Short Tons),699915
2018,9,OK,Total Electric Power Industry,Natural Gas (Mcf),31653177
2018,9,OK,Total Electric Power Industry,Petroleum (Barrels),776
2018,9,OR,Total Electric Power Industry,Coal (Short Tons),201809
2018,9,OR,Total Electric Power Industry,Natural Gas (Mcf),14087610
2018,9,OR,Total Electric Power Industry,Petroleum (Barrels),660
2018,9,PA,Total Electric Power Industry,Coal (Short Tons),1493269
2018,9,PA,Total Electric Power Industry,Natural Gas (Mcf),53550414
2018,9,PA,Total Electric Power Industry,Petroleum (Barrels),74103
2018,9,RI,Total Electric Power Industry,Coal (Short Tons),0
2018,9,RI,Total Electric Power Industry,Natural Gas (Mcf),7134547
2018,9,RI,Total Electric Power Industry,Petroleum (Barrels),14
2018,9,SC,Total Electric Power Industry,Coal (Short Tons),686641
2018,9,SC,Total Electric Power Industry,Natural Gas (Mcf),21253399
2018,9,SC,Total Electric Power Industry,Petroleum (Barrels),19813
2018,9,SD,Total Electric Power Industry,Coal (Short Tons),54984
2018,9,SD,Total Electric Power Industry,Natural Gas (Mcf),553745
2018,9,SD,Total Electric Power Industry,Petroleum (Barrels),1488
2018,9,TN,Total Electric Power Industry,Coal (Short Tons),874558
2018,9,TN,Total Electric Power Industry,Natural Gas (Mcf),12068765
2018,9,TN,Total Electric Power Industry,Petroleum (Barrels),16531
2018,9,TX,Total Electric Power Industry,Coal (Short Tons),7042591
2018,9,TX,Total Electric Power Industry,Natural Gas (Mcf),158579427
2018,9,TX,Total Electric Power Industry,Petroleum (Barrels),23889
2018,9,UT,Total Electric Power Industry,Coal (Short Tons),1017161
2018,9,UT,Total Electric Power Industry,Natural Gas (Mcf),6461811
2018,9,UT,Total Electric Power Industry,Petroleum (Barrels),4181
2018,9,VA,Total Electric Power Industry,Coal (Short Tons),287676
2018,9,VA,Total Electric Power Industry,Natural Gas (Mcf),35210250
2018,9,VA,Total Electric Power Industry,Petroleum (Barrels),62614
2018,9,VT,Total Electric Power Industry,Natural Gas (Mcf),1559
2018,9,VT,Total Electric Power Industry,Petroleum (Barrels),941
2018,9,WA,Total Electric Power Industry,Coal (Short Tons),522625
2018,9,WA,Total Electric Power Industry,Natural Gas (Mcf),11914492
2018,9,WA,Total Electric Power Industry,Petroleum (Barrels),1073
2018,9,WI,Total Electric Power Industry,Coal (Short Tons),1608924
2018,9,WI,Total Electric Power Industry,Natural Gas (Mcf),11602387
2018,9,WI,Total Electric Power Industry,Petroleum (Barrels),24249
2018,9,WV,Total Electric Power Industry,Coal (Short Tons),1954231
2018,9,WV,Total Electric Power Industry,Natural Gas (Mcf),1886395
2018,9,WV,Total Electric Power Industry,Petroleum (Barrels),17318
2018,9,WY,Total Electric Power Industry,Coal (Short Tons),2044191
2018,9,WY,Total Electric Power Industry,Natural Gas (Mcf),541483
2018,9,WY,Total Electric Power Industry,Petroleum (Barrels),6403
2018,10,AK,Total Electric Power Industry,Coal (Short Tons),39245
2018,10,AK,Total Electric Power Industry,Natural Gas (Mcf),1672193
2018,10,AK,Total Electric Power Industry,Petroleum (Barrels),122517
2018,10,AL,Total Electric Power Industry,Coal (Short Tons),1042542
2018,10,AL,Total Electric Power Industry,Natural Gas (Mcf),36397368
2018,10,AL,Total Electric Power Industry,Petroleum (Barrels),4109
2018,10,AR,Total Electric Power Industry,Coal (Short Tons),1439306
2018,10,AR,Total Electric Power Industry,Natural Gas (Mcf),12840510
2018,10,AR,Total Electric Power Industry,Petroleum (Barrels),5500
2018,10,AZ,Total Electric Power Industry,Coal (Short Tons),1302453
2018,10,AZ,Total Electric Power Industry,Natural Gas (Mcf),29116664
2018,10,AZ,Total Electric Power Industry,Petroleum (Barrels),11338
2018,10,CA,Total Electric Power Industry,Coal (Short Tons),4046
2018,10,CA,Total Electric Power Industry,Natural Gas (Mcf),63382244
2018,10,CA,Total Electric Power Industry,Petroleum (Barrels),7107
2018,10,CO,Total Electric Power Industry,Coal (Short Tons),1232624
2018,10,CO,Total Electric Power Industry,Natural Gas (Mcf),9526148
2018,10,CO,Total Electric Power Industry,Petroleum (Barrels),2435
2018,10,CT,Total Electric Power Industry,Coal (Short Tons),0
2018,10,CT,Total Electric Power Industry,Natural Gas (Mcf),12655757
2018,10,CT,Total Electric Power Industry,Petroleum (Barrels),2701
2018,10,DC,Total Electric Power Industry,Natural Gas (Mcf),25150
2018,10,DC,Total Electric Power Industry,Petroleum (Barrels),0
2018,10,DE,Total Electric Power Industry,Coal (Short Tons),1636
2018,10,DE,Total Electric Power Industry,Natural Gas (Mcf),4390312
2018,10,DE,Total Electric Power Industry,Petroleum (Barrels),618
2018,10,FL,Total Electric Power Industry,Coal (Short Tons),1141640
2018,10,FL,Total Electric Power Industry,Natural Gas (Mcf),120344421
2018,10,FL,Total Electric Power Industry,Petroleum (Barrels),260483
2018,10,GA,Total Electric Power Industry,Coal (Short Tons),1451559
2018,10,GA,Total Electric Power Industry,Natural Gas (Mcf),30900171
2018,10,GA,Total Electric Power Industry,Petroleum (Barrels),47192
2018,10,HI,Total Electric Power Industry,Coal (Short Tons),59736
2018,10,HI,Total Electric Power Industry,Petroleum (Barrels),1060687
2018,10,IA,Total Electric Power Industry,Coal (Short Tons),1391987
2018,10,IA,Total Electric Power Industry,Natural Gas (Mcf),3287041
2018,10,IA,Total Electric Power Industry,Petroleum (Barrels),9000
2018,10,ID,Total Electric Power Industry,Coal (Short Tons),535
2018,10,ID,Total Electric Power Industry,Natural Gas (Mcf),1197568
2018,10,ID,Total Electric Power Industry,Petroleum (Barrels),31
2018,10,IL,Total Electric Power Industry,Coal (Short Tons),2412691
2018,10,IL,Total Electric Power Industry,Natural Gas (Mcf),9194241
2018,10,IL,Total Electric Power Industry,Petroleum (Barrels),11643
2018,10,IN,Total Electric Power Industry,Coal (Short Tons),3216059
2018,10,IN,Total Electric Power Industry,Natural Gas (Mcf),14237918
2018,10,IN,Total Electric Power Industry,Petroleum (Barrels),19198
2018,10,KS,Total Electric Power Industry,Coal (Short Tons),954014
2018,10,KS,Total Electric Power Industry,Natural Gas (Mcf),2005270
2018,10,KS,Total Electric Power Industry,Petroleum (Barrels),8810
2018,10,KY,Total Electric Power Industry,Coal (Short Tons),2253845
2018,10,KY,Total Electric Power Industry,Natural Gas (Mcf),9678192
2018,10,KY,Total Electric Power Industry,Petroleum (Barrels),13609
2018,10,LA,Total Electric Power Industry,Coal (Short Tons),525475
2018,10,LA,Total Electric Power Industry,Natural Gas (Mcf),39829705
2018,10,LA,Total Electric Power Industry,Petroleum (Barrels),447455
2018,10,MA,Total Electric Power Industry,Coal (Short Tons),0
2018,10,MA,Total Electric Power Industry,Natural Gas (Mcf),10218566
2018,10,MA,Total Electric Power Industry,Petroleum (Barrels),11741
2018,10,MD,Total Electric Power Industry,Coal (Short Tons),137256
2018,10,MD,Total Electric Power Industry,Natural Gas (Mcf),11128683
2018,10,MD,Total Electric Power Industry,Petroleum (Barrels),10710
2018,10,ME,Total Electric Power Industry,Coal (Short Tons),712
2018,10,ME,Total Electric Power Industry,Natural Gas (Mcf),2143557
2018,10,ME,Total Electric Power Industry,Petroleum (Barrels),3092
2018,10,MI,Total Electric Power Industry,Coal (Short Tons),1591418
2018,10,MI,Total Electric Power Industry,Natural Gas (Mcf),17300682
2018,10,MI,Total Electric Power Industry,Petroleum (Barrels),227119
2018,10,MN,Total Electric Power Industry,Coal (Short Tons),1137724
2018,10,MN,Total Electric Power Industry,Natural Gas (Mcf),2625184
2018,10,MN,Total Electric Power Industry,Petroleum (Barrels),7840
2018,10,MO,Total Electric Power Industry,Coal (Short Tons),2624892
2018,10,MO,Total Electric Power Industry,Natural Gas (Mcf),5227241
2018,10,MO,Total Electric Power Industry,Petroleum (Barrels),17146
2018,10,MS,Total Electric Power Industry,Coal (Short Tons),372346
2018,10,MS,Total Electric Power Industry,Natural Gas (Mcf),23696656
2018,10,MS,Total Electric Power Industry,Petroleum (Barrels),5276
2018,10,MT,Total Electric Power Industry,Coal (Short Tons),931041
2018,10,MT,Total Electric Power Industry,Natural Gas (Mcf),421610
2018,10,MT,Total Electric Power Industry,Petroleum (Barrels),78245
2018,10,NC,Total Electric Power Industry,Coal (Short Tons),652987
2018,10,NC,Total Electric Power Industry,Natural Gas (Mcf),28869086
